Printed_gathering,Handwriting_order,Date,Poem_title,TitleID,InkID,Setup,File_operation,XRF_spot,w(Si_K),w(P_K),w(S_K),w(Cl_K),w(Ar_K),w(K_K),w(Ca_K),w(Ti_K),w(Mn_K),w(Fe_K),w(Ni_K),w(Cu_K),w(Zn_K),w(Rh_L),Si_K,P_K,S_K,Cl_K,Ar_K,K_K,Ca_K,Ti_K,Mn_K,Fe_K,Ni_K,Cu_K,Zn_K,Rh_L,Si_K / Fe_K,P_K / Fe_K,S_K / Fe_K,Cl_K / Fe_K,K_K / Fe_K,Ca_K / Fe_K,Ti_K / Fe_K,Mn_K / Fe_K,Ni_K / Fe_K,Cu_K / Fe_K,Zn_K / Fe_K
C,1st,1688,On the Composeing of a Prayer for the Unborne Prince of Wales,17,7,ink section 2 - paper 87_s2,88_s2 - 87_s2,88_s2,0.0049,0.02965,0.673,-0.02893,-0.04796,0.15112,0.49396,-0.00214,0.00486,0.33188,6.66E-04,0.04434,0.00163,0.03704,-4.728,110.339,4936.37,-400.12,-153.94,2723.33,11718.02,-42.037,259.83,18602.12,40.7428,2713.546,89.879,-68.48,-2.54E-04,0.00593,0.26537,-0.02151,0.1464,0.62993,-0.00226,0.01397,0.00219,0.14587,0.00483
C,3rd,1699,[The Picture of a Dublin Beau],18,8,ink - paper 90_s1,89_s1 - 90_s1,89_s1,-0.03587,-0.00396,0.14396,-0.02224,-0.1169,0.03694,0.3309,-0.00534,0.00571,0.27555,-0.00218,1.37E-04,-0.0042,-0.10262,-76.233,-24.911,1029.68,-179.99,-609.68,839.83,8556.92,-145.929,297.27,15309.55,-136.53957,4.824,-278.22,-442.2,-0.00498,-0.00163,0.06726,-0.01176,0.05486,0.55893,-0.00953,0.01942,-0.00892,3.15E-04,-0.01817
C,3rd,1699,[The Picture of a Dublin Beau],18,8,ink section 1 - paper,90_s2 - 90_s1,90_s2,0.00817,0.02779,1.19949,-0.13374,-0.01946,0.28783,0.53091,-0.00339,0.00595,0.15303,-0.00148,0.00302,0.00325,0.11574,16.881,116.416,9002.77,-1300.108,-390.5,4856.8,11702.82,-95.826,316.96,8611.75,-91.966,188.395,205.8,-175.93,0.00196,0.01352,1.04541,-0.15097,0.56397,1.35894,-0.01113,0.03681,-0.01068,0.02188,0.0239
C,3rd,1700-01,"A Fable, yet a True Story",19,8,ink section 2 - paper,90_s3 - 90_s1,90_s3,-0.03222,0.04127,0.56755,0.12353,-0.00595,0.03883,0.49705,-0.00527,0.00375,0.18798,-0.00226,0.00118,-0.00327,0.06015,-53.146,164.047,4231.75,886.64,-193.68,665.38,11712.52,-154.698,201.65,10526.55,-141.24886,72.139,-202,-42.11,-0.00505,0.01558,0.40201,0.08423,0.06321,1.11266,-0.0147,0.01916,-0.01342,0.00685,-0.01919
C,3rd,1700-02,"A Fable, yet a True Story",19,8,ink - paper,91_s1 - 91_S2,91_s1,0.05636,0.03683,0.378,-0.01376,-0.04466,0.04775,0.56622,6.27E-04,0.00401,0.41491,0.00114,0.0017,0.00308,-0.05498,54.638,131.189,2748.45,-302.84,0.08,975.61,14541.5,61.954,223.08,23052.52,68.6377,100.529,161.12,-601.07,0.00237,0.00569,0.11923,-0.01314,0.04232,0.6308,0.00269,0.00968,0.00298,0.00436,0.00699
C,3rd,1709,The Thanksgiving,20,9,ink - paper 91_s2,92_s1 - 91_s2,92_s1,0.01149,0.06373,0.21885,0.01234,-0.08009,0.05812,0.45008,-0.00145,0.00553,0.27768,7.15E-05,0.01636,0.00238,0.00273,-1.676,238.588,1561.25,3.24,-414.17,1163.53,11434.5,-16.787,292.44,15393.82,3.8532,991.84,124.73,-62.64,-1.09E-04,0.0155,0.10142,2.10E-04,0.07558,0.7428,-0.00109,0.019,2.50E-04,0.06443,0.0081
C,NA,??,??,21,5,ink dark - paper,93_s1 - 93_s2,93_s1,-0.08432,0.25712,2.10774,-0.102,-0.03823,0.38601,2.14333,-0.00715,0.01496,1.28112,-4.92E-04,0.04831,0.00231,-0.24409,-133.6874,975.813,15041.67,-890.914,-368.71,7155.76,52289,-183.663,784.09,71584,-30.82443,2934.979,130.719,-1847.96,-0.00187,0.01363,0.21013,-0.01245,0.09996,0.73046,-0.00257,0.01095,-4.31E-04,0.041,0.00183
C,NA,??,??,21,5,ink gray - paper,93_s3 - 93_s2,93_s3,-0.00623,0.35785,2.33671,-0.05533,0.01579,0.23606,1.46879,-0.00226,0.01431,0.5517,-3.98E-04,0.0039,0.00145,-0.0509,-12.008,1439.293,16500.07,-553.135,-319.71,3929.19,34188.1,-31.867,756.29,31055.4,-24.8184,242.191,89.965,-1133.86,-3.87E-04,0.04635,0.53131,-0.01781,0.12652,1.10087,-0.00103,0.02435,-7.99E-04,0.0078,0.0029
C,NA,??,??,21,5,ink numbers - paper,93_s4 - 93_s2,93_s4,-0.03158,0.23414,0.59565,-0.03979,-0.05102,0.48819,0.49704,-0.00372,0.01636,1.75396,1.28E-04,0.00455,0.00342,-0.21399,-77.365,791.903,3617.3,-335.987,-176.24,9430.96,13338.2,-3.629,902.05,98972.5,5.9156,252.097,179.963,-1291.96,-7.82E-04,0.008,0.03655,-0.00339,0.09529,0.13477,-3.67E-05,0.00911,5.98E-05,0.00255,0.00182
C,NA,??,??,21,5,ink - paper 93_s2,94_s1 - 93_s2,94_s1,0.06216,0.1349,0.38632,-0.04462,0.04852,0.40032,-0.08361,-0.00177,0.00766,0.22641,-5.33E-04,0.00705,0.00387,0.06911,85.425,533.808,2537.68,-425.234,399.33,6906.56,-2618.5,-12.403,416.93,12769.6,-33.26064,433.712,234.854,83.34,0.00669,0.0418,0.19873,-0.0333,0.54086,-0.20506,-9.71E-04,0.03265,-0.0026,0.03396,0.01839
